stadium,date,time,home,guest
Frasqueirão,2021-02-02,20:18:18,Brazil,Bulgaria
Frasqueirão,2021-05-04,22:46:23,South Korea,Libya
VTB Arena,2021-04-13,18:12:54,Liberia,Azerbaijan
VTB Arena,2021-05-18,14:08:24,Bolivia,Colombia
VTB Arena,2021-05-18,15:44:54,The Gambia,South Sudan
VTB Arena,2021-01-07,11:14:29,Slovakia,Rwanda
VTB Arena,2021-01-09,00:03:25,Libya,Ecuador
Rosenaustadion,2020-11-28,22:12:49,Colombia,The Gambia
Rosenaustadion,2021-03-07,19:58:14,South Sudan,Japan
Rosenaustadion,2021-01-24,06:25:11,Chile,Kosovo
Rosenaustadion,2021-03-28,09:39:59,Uruguay,Burundi
Rosenaustadion,2021-02-22,14:58:52,Rwanda,Finland
Rosenaustadion,2021-01-21,01:57:47,Curaçao,Austria
Trolli Arena,2021-04-21,05:59:23,Dominica,Egypt
Trolli Arena,2020-12-25,12:46:49,Australia,Sudan
Trolli Arena,2021-01-07,15:43:08,Saudi Arabia,Japan
Trolli Arena,2021-03-22,07:30:30,United Kingdom,Sweden
Trolli Arena,2021-03-23,08:16:31,Lebanon,Albania
Trolli Arena,2020-12-19,06:42:03,United Kingdom,Solomon Islands
Trolli Arena,2021-02-07,05:26:18,Burundi,Tajikistan
Trolli Arena,2021-01-06,15:06:23,Tunisia,Mongolia
Trolli Arena,2021-04-04,21:53:22,Guatemala,United Arab Emirates
Trolli Arena,2021-01-31,10:09:11,Pakistan,Sri Lanka
Stadion am Böllenfalltor,2020-12-13,15:13:12,Philippines,Solomon Islands
Stadion am Böllenfalltor,2021-02-02,14:09:11,Nigeria,Liechtenstein
Stadion am Böllenfalltor,2020-12-27,11:13:56,Iran,Slovakia
Stadion am Böllenfalltor,2021-02-03,16:53:20,Qatar,Sierra Leone
Stadion am Böllenfalltor,2021-05-07,08:25:49,Antigua and Barbuda,Angola
Stadion am Böllenfalltor,2021-03-09,16:19:56,Bolivia,Dominican Republic
Stadion am Böllenfalltor,2021-01-07,01:24:15,Serbia,State of Palestine
Stadion am Böllenfalltor,2021-01-04,06:03:05,Bhutan,Suriname
Stadion am Böllenfalltor,2021-04-28,14:18:58,Romania,Australia
Stadion am Böllenfalltor,2021-02-05,20:01:09,Mauritania,Mongolia
Stadionul Iuliu Bodola,2021-01-05,00:58:21,India,Peru
Stadionul Iuliu Bodola,2021-04-13,22:57:27,Laos,Albania
Stadionul Iuliu Bodola,2021-02-06,13:17:05,Saint Vincent and the Grenadines,Argentina
Stadionul Iuliu Bodola,2021-03-06,13:08:59,British Virgin Islands,Antigua and Barbuda
Stadionul Iuliu Bodola,2020-12-02,23:59:52,Malta,Bulgaria
Stadionul Iuliu Bodola,2021-01-28,03:02:30,Czech Republic,Oman
Stadionul Iuliu Bodola,2020-12-09,23:48:55,Israel,Liechtenstein
Stadionul Iuliu Bodola,2021-04-03,01:22:36,Latvia,South Africa
Stadionul Iuliu Bodola,2021-01-26,09:00:12,Benin,Ecuador
Stadionul Iuliu Bodola,2020-12-11,22:36:28,Fiji,Australia
Stadionul Olimpia,2021-02-27,15:04:26,Finland,Benin
Stadionul Olimpia,2020-11-23,20:55:16,Tunisia,Morocco
Stadionul Olimpia,2021-01-10,12:51:13,Indonesia,Angola
Stadionul Olimpia,2021-01-20,00:41:52,Rwanda,Mauritius
Stadionul Olimpia,2021-04-17,06:44:32,São Tomé and Príncipe,El Salvador
Stadionul Olimpia,2021-01-07,19:13:26,Vietnam,Myanmar
Stadionul Olimpia,2021-04-11,17:28:07,Trinidad and Tobago,Mauritania
Stadionul Olimpia,2021-05-04,23:33:35,Fiji,Gabon
Mikheil Meskhi Stadium,2020-11-24,05:09:07,New Zealand,India
Mikheil Meskhi Stadium,2021-02-14,23:08:33,Faroe Islands,South Sudan
Mikheil Meskhi Stadium,2021-02-12,00:56:12,Indonesia,Albania
Mikheil Meskhi Stadium,2020-12-24,06:52:42,Nicaragua,North Macedonia
Mikheil Meskhi Stadium,2021-04-19,01:48:17,Montenegro,France
Mikheil Meskhi Stadium,2021-03-15,19:52:44,Uruguay,South Korea
Mikheil Meskhi Stadium,2021-04-27,13:34:40,Latvia,Albania
Mikheil Meskhi Stadium,2021-02-13,01:25:59,Benin,Myanmar
Robina Stadium,2020-12-20,15:23:21,Nigeria,São Tomé and Príncipe
Robina Stadium,2021-02-19,20:23:27,Lebanon,Djibouti
Robina Stadium,2021-01-17,10:09:48,Turkmenistan,Malawi
Estadio José Dellagiovanna,2021-02-27,12:20:14,Pakistan,Honduras
Estadio José Dellagiovanna,2020-12-06,05:00:17,Chile,Kosovo
Estadio José Dellagiovanna,2020-12-24,04:14:18,Taiwan,Paraguay
Estadio José Dellagiovanna,2021-03-03,12:04:38,Angola,Trinidad and Tobago
Estadio José Dellagiovanna,2020-12-14,20:30:25,Ukraine,Trinidad and Tobago
Estadio José Dellagiovanna,2021-01-19,10:18:16,Egypt,Cape Verde
Estadio José Dellagiovanna,2020-12-23,20:49:15,Iran,Suriname
Estadio Miguel Grau,2021-03-17,09:53:05,Ireland,San Marino
Estadio Miguel Grau,2021-02-20,13:06:40,Uzbekistan,Brunei
Estadio Miguel Grau,2021-04-15,12:44:46,Switzerland,Rwanda
Estadio Miguel Grau,2021-04-16,19:26:05,Chile,Greenland
Estadio Miguel Grau,2021-05-04,19:14:40,Malta,Jordan
Estadio Sierra Nevada,2021-02-18,21:57:19,Libya,El Salvador
Estadio Sierra Nevada,2021-02-04,18:45:11,North Macedonia,Iceland
Estadio Sierra Nevada,2020-12-14,10:56:23,Brazil,Oman
Estadio Sierra Nevada,2021-03-13,20:14:00,Ivory Coast,Zambia
Estadio Sierra Nevada,2020-12-16,20:51:24,Poland,Bosnia and Herzegovina
Hasely Crawford Stadium,2021-03-31,09:50:42,Kyrgyzstan,The Gambia
Hasely Crawford Stadium,2021-04-07,14:31:09,Norway,Costa Rica
Hasely Crawford Stadium,2021-04-28,17:05:03,Grenada,New Zealand
Hasely Crawford Stadium,2021-02-11,16:02:23,British Virgin Islands,Israel
Hasely Crawford Stadium,2021-01-22,01:50:18,United States of America,Greenland
Hasely Crawford Stadium,2021-04-13,14:10:02,Rwanda,Argentina
Hasely Crawford Stadium,2021-05-18,12:55:28,Italy,South Sudan
Hasely Crawford Stadium,2020-12-23,18:19:32,Mauritius,Greece
Hasely Crawford Stadium,2021-03-03,15:13:33,Kenya,San Marino
Köpetdag Stadium,2020-12-28,04:55:25,Armenia,Singapore
Köpetdag Stadium,2021-03-08,06:32:24,Croatia,Latvia
Köpetdag Stadium,2021-03-25,20:54:45,Norway,Ghana
Köpetdag Stadium,2021-04-01,01:34:49,Botswana,Paraguay
Dura International Stadium,2021-05-11,09:04:02,Cyprus,Zimbabwe
Dura International Stadium,2021-05-05,03:25:18,Nigeria,Tajikistan
Dura International Stadium,2021-01-19,14:13:15,Afghanistan,Azerbaijan
Estadio Municipal de La Línea de la Concepción,2021-02-08,19:30:10,Liechtenstein,Finland
Estadio Municipal de La Línea de la Concepción,2021-05-08,18:57:50,Burkina Faso,Panama
Estadio Municipal de La Línea de la Concepción,2021-01-22,09:19:32,Iceland,Hungary
Estadio Municipal de La Línea de la Concepción,2021-03-22,21:13:50,Democratic Republic of the Congo,Ireland
Türk Telekom Stadium,2020-12-04,07:41:40,Bahrain,Czech Republic
Türk Telekom Stadium,2021-01-16,04:07:41,Turkmenistan,Bahrain
Türk Telekom Stadium,2020-12-26,03:45:48,Uruguay,Montenegro
Türk Telekom Stadium,2020-12-19,17:07:24,Mongolia,Rwanda
Türk Telekom Stadium,2021-04-22,15:26:26,Myanmar,Poland
Türk Telekom Stadium,2021-01-16,10:25:40,Singapore,South Sudan
Türk Telekom Stadium,2021-01-24,20:16:14,Tunisia,Cuba
Türk Telekom Stadium,2020-12-01,03:42:20,Switzerland,Brazil
Cuauhtémoc Stadium,2021-04-19,21:44:09,Tanzania,Indonesia
Cuauhtémoc Stadium,2021-04-01,22:11:05,Algeria,Italy
Cuauhtémoc Stadium,2021-02-05,12:50:00,Saint Kitts and Nevis,Jordan
Cuauhtémoc Stadium,2021-01-12,10:32:03,Brunei,Sri Lanka
Estadio Plan de San Luis Potosí,2021-02-20,11:21:13,Cambodia,Zambia
Estadio Plan de San Luis Potosí,2021-04-17,20:50:44,Portugal,Libya
Estadio Plan de San Luis Potosí,2021-05-16,06:12:40,Qatar,Sweden
Estadio Plan de San Luis Potosí,2021-03-26,10:32:50,San Marino,Bulgaria
Estadio Plan de San Luis Potosí,2021-03-01,13:17:37,Greenland,Australia
Anfield,2021-01-10,01:05:05,Lithuania,Kuwait
Anfield,2021-01-06,19:09:44,Ecuador,Sudan
Anfield,2021-04-16,13:21:51,Dominica,Moldova
Anfield,2021-05-04,18:35:59,Laos,Jordan
Anfield,2020-12-02,17:10:39,Montenegro,Armenia
Etihad Stadium,2021-01-02,09:21:15,Indonesia,Laos
Etihad Stadium,2020-12-20,02:41:36,Kenya,Dominica
Etihad Stadium,2021-01-24,21:52:21,Spain,São Tomé and Príncipe
Etihad Stadium,2020-12-22,15:06:45,Bangladesh,Brazil
Etihad Stadium,2020-12-15,15:56:41,Zimbabwe,Nepal
Etihad Stadium,2021-02-05,15:17:47,Somalia,Argentina
Etihad Stadium,2021-04-28,15:40:11,Serbia,Mauritania
Etihad Stadium,2021-01-15,11:03:32,Eritrea,Kuwait
Etihad Stadium,2021-02-27,01:35:51,United Arab Emirates,Romania
Etihad Stadium,2021-05-04,21:02:45,India,Suriname
Yuanshen Sports Centre Stadium,2021-01-26,11:21:06,Ghana,Botswana
Yuanshen Sports Centre Stadium,2021-05-04,04:21:33,Cambodia,Albania
Yuanshen Sports Centre Stadium,2021-02-21,01:34:15,Switzerland,Liberia
Yuanshen Sports Centre Stadium,2021-03-20,23:34:02,Qatar,Tanzania
Yuanshen Sports Centre Stadium,2021-01-06,18:06:50,Grenada,Serbia
Yuanshen Sports Centre Stadium,2021-03-01,16:54:18,Romania,Singapore
Zibo Sports Center Stadium,2021-04-19,21:44:22,Saint Vincent and the Grenadines,Vietnam
Zibo Sports Center Stadium,2021-01-06,18:42:20,Iran,Mauritania
Zibo Sports Center Stadium,2021-05-08,16:35:19,Dominican Republic,Netherlands
Zibo Sports Center Stadium,2021-02-09,01:06:53,Italy,Sierra Leone
Zibo Sports Center Stadium,2021-02-18,00:19:02,Sudan,Uzbekistan
Zibo Sports Center Stadium,2021-02-18,20:40:24,Armenia,Zambia
Zibo Sports Center Stadium,2020-12-11,07:07:15,United Kingdom,Serbia
Zibo Sports Center Stadium,2021-02-16,03:40:37,Saint Vincent and the Grenadines,Venezuela
Yizhong Sports Center,2021-03-29,22:59:29,Benin,Mongolia
Yizhong Sports Center,2021-02-21,08:28:11,Singapore,Israel
Yizhong Sports Center,2021-04-01,04:12:09,Cyprus,Mauritius
Yizhong Sports Center,2021-02-28,17:44:49,Netherlands,Faroe Islands
Estádio Vila Capanema,2021-03-06,15:00:00,Japan,Moldova
Estádio Vila Capanema,2021-03-02,04:20:40,Somalia,Saint Lucia
Estádio Vila Capanema,2021-01-06,14:31:01,Denmark,Angola
Estádio Vila Capanema,2020-11-22,21:47:33,Morocco,Turkey
Estádio Vila Capanema,2021-01-27,04:12:07,Sierra Leone,Liechtenstein
Estádio Vila Capanema,2021-04-18,01:01:38,Guernsey,Mali
Estádio Kléber Andrade,2020-12-14,20:47:50,Italy,Sierra Leone
Estádio Kléber Andrade,2021-04-11,10:08:38,Mongolia,Oman
Estádio Kléber Andrade,2021-01-21,18:47:47,Croatia,Belarus
Estádio Kléber Andrade,2020-12-16,22:06:28,Oman,Belarus
Estádio Kléber Andrade,2021-01-31,09:03:28,Estonia,Nigeria
Estádio Kléber Andrade,2020-12-20,14:07:24,Iraq,Chile
Estádio Kléber Andrade,2021-02-28,06:55:37,Colombia,Jordan
Estádio Kléber Andrade,2020-11-29,15:53:51,Uruguay,Finland
Machadão,2021-02-04,23:40:39,Russia,Australia
Machadão,2021-05-11,23:16:28,Saint Lucia,Fiji
Machadão,2020-11-22,14:42:53,Turkmenistan,Finland
Machadão,2021-03-11,13:50:56,San Marino,Azerbaijan
Machadão,2020-11-29,18:36:26,Syria,Armenia
Machadão,2021-03-18,08:10:08,Eritrea,El Salvador
Machadão,2021-02-14,03:20:39,Latvia,Belarus
Machadão,2021-01-04,04:26:34,Faroe Islands,Djibouti
Machadão,2021-01-29,23:16:42,Somalia,Afghanistan
Volksparkstadion,2021-01-18,22:48:04,The Gambia,South Sudan
Volksparkstadion,2021-03-24,21:28:56,Singapore,Slovenia
Volksparkstadion,2021-04-25,04:14:19,Democratic Republic of the Congo,Ireland
Volksparkstadion,2021-05-16,03:35:53,Czech Republic,Ukraine
Volksparkstadion,2020-11-30,22:59:08,Estonia,Norway
Volksparkstadion,2020-11-29,04:59:04,Azerbaijan,Benin
Volksparkstadion,2020-12-13,00:26:16,Guatemala,Ethiopia
Volksparkstadion,2021-03-23,16:45:14,Faroe Islands,Kazakhstan
Volksparkstadion,2021-05-11,00:12:10,Cyprus,Canada
Harapan Bangsa Stadium,2021-03-10,08:19:59,Thailand,Estonia
Harapan Bangsa Stadium,2021-03-21,12:57:06,Netherlands,Tunisia
Harapan Bangsa Stadium,2021-03-07,00:08:10,Nepal,Moldova
Brawijaya Stadium,2021-04-01,16:50:09,Moldova,Finland
Brawijaya Stadium,2020-12-09,22:41:26,Mexico,Burundi
Brawijaya Stadium,2021-03-12,20:44:47,Panama,Belgium
Brawijaya Stadium,2021-01-29,02:05:01,Sri Lanka,Japan
Brawijaya Stadium,2020-12-26,00:17:58,Jordan,Denmark
Brawijaya Stadium,2021-02-15,15:02:08,Guernsey,Mauritius
Brawijaya Stadium,2021-05-11,14:22:37,United Kingdom,Malta
Brawijaya Stadium,2021-04-09,16:14:38,Mali,Sudan
Brawijaya Stadium,2021-03-17,20:44:55,Lithuania,Laos
Brawijaya Stadium,2021-02-13,18:22:38,Greece,Cameroon
Estadio Roberto Natalio Carminatti,2020-11-28,22:25:12,Taiwan,Latvia
Estadio Roberto Natalio Carminatti,2021-02-19,09:43:57,Mongolia,Tajikistan
Estadio Roberto Natalio Carminatti,2021-05-19,08:56:37,Mongolia,El Salvador
Estadio Roberto Natalio Carminatti,2020-11-22,22:24:21,Israel,Finland
Estadio Roberto Natalio Carminatti,2021-04-22,23:31:45,Pakistan,Curaçao
Estadio Roberto Natalio Carminatti,2021-05-20,02:08:13,Eritrea,Slovenia
Estadio Roberto Natalio Carminatti,2021-01-25,17:42:26,Honduras,Zimbabwe
Estadio Roberto Natalio Carminatti,2021-01-11,14:23:08,Bangladesh,Tunisia
Estadio Universidad San Marcos,2021-01-13,05:07:51,Mali,Bangladesh
Estadio Universidad San Marcos,2021-02-12,08:07:39,Curaçao,Netherlands
Estadio Universidad San Marcos,2021-02-11,09:53:13,Ghana,Republic of Abkhazia
Estadio Universidad San Marcos,2021-02-06,14:33:06,Switzerland,Indonesia
Providence Stadium,2021-04-09,21:13:47,Hungary,Tajikistan
Providence Stadium,2021-05-03,06:24:24,Algeria,Peru
Providence Stadium,2021-03-24,17:57:59,Iceland,Slovakia
Providence Stadium,2021-04-22,22:23:06,Israel,Bosnia and Herzegovina
Providence Stadium,2021-04-08,03:08:08,Rwanda,Greece
Providence Stadium,2021-03-30,19:46:15,Ghana,Italy
Naghsh-e-Jahan Stadium,2021-04-17,19:31:29,Kenya,Australia
Naghsh-e-Jahan Stadium,2021-05-07,17:03:59,Rwanda,Portugal
Naghsh-e-Jahan Stadium,2021-04-26,06:25:39,Mongolia,Costa Rica
Naghsh-e-Jahan Stadium,2021-03-28,18:31:06,Dominican Republic,North Korea
Naghsh-e-Jahan Stadium,2020-11-26,08:11:01,Peru,Cuba
Naghsh-e-Jahan Stadium,2020-12-06,10:56:03,Paraguay,Myanmar
Naghsh-e-Jahan Stadium,2021-01-16,03:35:02,Saint Vincent and the Grenadines,Azerbaijan
Naghsh-e-Jahan Stadium,2021-01-10,08:02:52,Faroe Islands,Democratic Republic of the Congo
Naghsh-e-Jahan Stadium,2020-12-05,03:38:50,Malta,Ukraine
King Abdullah Stadium,2020-12-30,17:20:27,Cameroon,Mali
King Abdullah Stadium,2021-04-21,02:30:47,Liberia,São Tomé and Príncipe
King Abdullah Stadium,2021-05-14,15:53:18,Argentina,Nepal
King Abdullah Stadium,2021-01-21,04:24:29,Guatemala,Saint Kitts and Nevis
King Abdullah Stadium,2021-03-26,17:22:34,Somalia,Canada
King Abdullah Stadium,2021-03-05,09:19:04,Grenada,Saint Lucia
Utama Negeri Stadium,2021-05-15,13:46:22,United Kingdom,Burundi
Utama Negeri Stadium,2021-01-01,17:51:32,Tunisia,Uzbekistan
Utama Negeri Stadium,2021-05-05,21:02:43,Egypt,Grenada
Utama Negeri Stadium,2021-01-05,15:02:15,Malawi,Cyprus
Utama Negeri Stadium,2020-11-30,07:26:59,Finland,Morocco
Utama Negeri Stadium,2021-02-11,14:53:00,Cambodia,Moldova
Utama Negeri Stadium,2021-05-01,13:57:33,Grenada,India
Utama Negeri Stadium,2020-12-26,00:39:32,Georgia,Mongolia
Latakia Sports City Stadium,2021-05-07,10:19:53,Latvia,State of Palestine
Latakia Sports City Stadium,2021-05-08,09:13:03,Thailand,Liechtenstein
Latakia Sports City Stadium,2021-05-01,21:34:07,Rwanda,Australia
Latakia Sports City Stadium,2021-02-16,20:15:22,Denmark,San Marino
Latakia Sports City Stadium,2021-04-07,07:12:33,Panama,Somalia
Latakia Sports City Stadium,2021-01-01,15:52:46,Saint Vincent and the Grenadines,São Tomé and Príncipe
Latakia Sports City Stadium,2021-01-31,23:03:38,Rwanda,Colombia
Latakia Sports City Stadium,2021-05-01,12:50:28,Slovakia,Azerbaijan
Latakia Sports City Stadium,2021-05-17,21:04:03,Dominican Republic,Croatia
Thammasat Stadium,2021-02-22,00:29:31,Bangladesh,Montenegro
Thammasat Stadium,2021-01-27,07:01:22,Sweden,Syria
Thammasat Stadium,2021-01-22,16:08:04,Slovakia,Myanmar
Thammasat Stadium,2021-01-22,14:38:14,Italy,Laos
Thammasat Stadium,2021-03-09,05:45:09,Sweden,Tajikistan
Thammasat Stadium,2021-01-19,01:05:36,Qatar,Mali
Thai Army Sports Stadium,2021-04-08,22:11:27,Egypt,Curaçao
Thai Army Sports Stadium,2021-04-25,12:52:13,United Kingdom,Kuwait
Thai Army Sports Stadium,2021-04-02,20:50:34,Finland,Cameroon
MA Aziz Stadium,2020-12-16,00:32:39,Rwanda,Tunisia
MA Aziz Stadium,2021-04-11,02:47:50,Bulgaria,Brunei
MA Aziz Stadium,2020-12-22,19:49:35,Uruguay,State of Palestine
MA Aziz Stadium,2021-02-15,08:27:37,Curaçao,Sweden
MA Aziz Stadium,2020-11-29,01:05:36,El Salvador,Zimbabwe
MA Aziz Stadium,2020-12-29,23:28:26,Austria,Germany
MA Aziz Stadium,2020-11-30,05:07:54,Bahrain,Armenia
MA Aziz Stadium,2021-01-05,15:47:42,Switzerland,Japan
MA Aziz Stadium,2021-03-22,13:49:35,Curaçao,Algeria
MA Aziz Stadium,2021-05-16,19:59:30,Russia,Saint Vincent and the Grenadines
Estádio Nacional do Chiazi,2021-03-01,18:22:50,Qatar,Cape Verde
Estádio Nacional do Chiazi,2020-12-10,04:54:55,Japan,Ukraine
Estádio Nacional do Chiazi,2021-04-26,12:31:45,Tanzania,Uzbekistan
Estádio Nacional do Chiazi,2021-04-05,13:03:05,Afghanistan,Vietnam
Estádio Nacional do Chiazi,2020-12-01,09:06:35,Afghanistan,Pakistan
Estádio Nacional do Chiazi,2021-02-07,03:54:56,South Sudan,United Kingdom
Estádio Nacional do Chiazi,2021-01-06,14:03:35,Thailand,Republic of Abkhazia
Estádio Nacional do Chiazi,2021-05-02,06:42:11,Taiwan,Moldova
Stade Mustapha Ben Jannet,2020-11-27,20:48:53,Saudi Arabia,Chile
Stade Mustapha Ben Jannet,2021-03-02,16:09:14,Portugal,Ghana
Stade Mustapha Ben Jannet,2020-12-30,05:30:27,Belarus,Malawi
Stade Mustapha Ben Jannet,2021-04-29,02:02:18,Iceland,Lebanon
Stade Mustapha Ben Jannet,2021-05-14,10:14:01,State of Palestine,Bhutan
Otunba Dipo Dina International Stadium,2021-01-19,15:33:46,Japan,Myanmar
Otunba Dipo Dina International Stadium,2021-04-25,01:59:48,Czech Republic,Netherlands
Otunba Dipo Dina International Stadium,2020-11-24,12:34:18,Brazil,Bhutan
Otunba Dipo Dina International Stadium,2021-04-11,22:28:55,Eritrea,Moldova
Otunba Dipo Dina International Stadium,2021-03-11,12:40:47,Rwanda,Panama
Otunba Dipo Dina International Stadium,2020-12-07,22:05:31,Cameroon,Peru
Otunba Dipo Dina International Stadium,2021-03-26,06:06:03,Taiwan,Myanmar
Otunba Dipo Dina International Stadium,2021-03-08,00:38:49,Sierra Leone,Belgium
Otunba Dipo Dina International Stadium,2020-12-10,10:06:21,Guyana,Democratic Republic of the Congo
Otunba Dipo Dina International Stadium,2021-03-19,10:00:55,Zimbabwe,Iraq
Mandela National Stadium,2021-03-19,22:14:41,Venezuela,Malaysia
Mandela National Stadium,2021-04-04,05:07:35,Cameroon,Japan
Mandela National Stadium,2021-03-28,10:17:58,Burkina Faso,Dominica
Mandela National Stadium,2021-01-16,14:00:27,Bulgaria,Argentina
Mandela National Stadium,2021-01-27,09:24:00,Dominican Republic,Antigua and Barbuda
Mandela National Stadium,2021-01-02,10:51:42,Philippines,Djibouti
Mandela National Stadium,2021-04-13,14:00:11,Djibouti,Antigua and Barbuda
Mandela National Stadium,2020-12-03,10:52:04,Ireland,France
Bank of America Stadium,2021-04-06,22:54:58,Vietnam,São Tomé and Príncipe
Bank of America Stadium,2020-12-05,09:07:39,Qatar,Saudi Arabia
Bank of America Stadium,2021-02-16,03:40:47,Eritrea,Hungary
Bank of America Stadium,2021-02-11,18:55:45,Mongolia,United Kingdom
Bank of America Stadium,2020-12-28,14:47:11,Mali,Kenya
Bank of America Stadium,2020-12-09,08:24:42,Laos,Suriname
Rice–Eccles Stadium,2021-01-19,06:13:06,Belgium,Paraguay
Rice–Eccles Stadium,2021-03-05,21:18:59,Paraguay,Latvia
Rice–Eccles Stadium,2021-05-08,09:07:53,Gabon,Libya
Rice–Eccles Stadium,2021-01-21,07:05:26,Kazakhstan,Ukraine
Rice–Eccles Stadium,2021-03-11,05:39:19,Afghanistan,Laos
Rice–Eccles Stadium,2021-04-02,15:16:55,Kazakhstan,Dominican Republic
Rice–Eccles Stadium,2021-02-18,06:44:26,Mauritius,Venezuela
Rice–Eccles Stadium,2021-01-30,08:59:24,Georgia,Saudi Arabia
Tampa Stadium,2020-12-10,22:56:53,France,Romania
Tampa Stadium,2020-12-20,11:55:13,Sudan,Cambodia
Tampa Stadium,2021-02-23,15:06:54,Dominican Republic,Australia
Tampa Stadium,2020-12-07,19:45:28,Jordan,Austria
Tampa Stadium,2021-03-21,13:06:17,Paraguay,Jordan
Estádio Olímpico do Pará,2021-05-09,15:04:13,Kyrgyzstan,Dominica
Estádio Olímpico do Pará,2020-11-30,11:38:15,Nicaragua,Spain
Estádio Olímpico do Pará,2021-01-18,21:10:06,Mongolia,Kazakhstan
Estádio Olímpico do Pará,2021-03-16,03:13:39,Greece,Zimbabwe
Estádio Olímpico do Pará,2021-04-02,05:39:23,Nicaragua,Slovenia
Estádio Olímpico do Pará,2020-11-27,11:03:28,France,Nicaragua
Estádio Olímpico do Pará,2021-01-04,06:51:37,Brazil,South Korea
Estádio Olímpico do Pará,2021-04-10,00:47:49,Poland,Hungary
Otkrytie Arena,2021-01-26,00:08:06,Guernsey,Bhutan
Otkrytie Arena,2021-04-15,19:19:11,New Zealand,South Sudan
Otkrytie Arena,2020-12-04,19:50:25,Spain,Honduras
Otkrytie Arena,2020-12-11,13:01:15,New Zealand,Belgium
Otkrytie Arena,2021-03-30,05:28:24,Panama,Somalia
Otkrytie Arena,2021-04-01,00:04:12,Paraguay,Cuba
Otkrytie Arena,2021-02-12,20:06:04,Ireland,Jordan
Otkrytie Arena,2021-01-05,16:39:03,Turkmenistan,Bangladesh
Vasil Levski National Stadium,2021-02-13,07:00:55,Argentina,Burundi
Vasil Levski National Stadium,2021-03-14,10:45:14,Armenia,Guyana
Vasil Levski National Stadium,2021-02-20,22:03:11,Indonesia,Burkina Faso
Vasil Levski National Stadium,2021-04-11,03:12:55,Nigeria,Hungary
Vasil Levski National Stadium,2020-12-24,16:18:31,San Marino,Cambodia
Vasil Levski National Stadium,2020-12-12,08:21:04,Ukraine,Laos
Vasil Levski National Stadium,2021-03-12,14:45:49,Poland,The Gambia
Vasil Levski National Stadium,2021-03-30,03:07:36,Botswana,Finland
Vasil Levski National Stadium,2021-05-19,00:46:37,Italy,Democratic Republic of the Congo
Vasil Levski National Stadium,2020-12-11,07:24:12,Mauritania,Libya
Estadio Monumental,2021-03-03,10:06:21,Afghanistan,Slovakia
